#{"t_start": 1770588151.5883014, "env_id": "LunarLander-v3"}
r,l,t
-139.153529,99,0.652618
-94.240603,64,0.657756
-100.283327,101,0.665549
-303.886285,66,0.670725
-62.22517,69,0.676874
-271.8973,82,0.683439
-140.366512,84,0.689933
-284.955442,119,0.698988
-265.812241,69,0.704876
-110.020783,72,0.710511
-481.839492,97,0.717881
-98.514936,99,0.727074
-166.235059,123,0.738186
-212.872812,105,0.746251
-260.789414,110,0.754522
-201.014051,102,0.762384
-192.539021,116,0.771658
-129.144183,71,0.777101
-113.770744,92,0.784002
-343.849681,87,0.790813
-280.315788,119,0.800718
-407.766158,77,0.807833
-390.007732,79,0.814846
-500.564228,140,0.825518
-63.259747,94,0.833405
-156.941837,90,0.840554
-434.543719,120,0.849492
-393.952688,123,0.858701
-158.220253,89,0.866459
-124.53592,109,0.874605
-195.049466,87,0.881208
-265.282637,89,0.889693
-142.798425,103,0.898652
-240.129039,102,0.906456
-41.401955,73,0.912081
-107.439481,92,0.919215
-55.856118,75,0.925421
-67.35941,64,0.930324
-192.414283,65,0.93552
-172.214098,125,0.944953
-72.922896,116,0.95417
-193.040533,79,0.960149
-158.854222,78,0.967008
-156.739497,74,0.973624
-131.780385,100,0.981586
-95.803921,68,0.986809
-132.921324,126,0.996102
-77.177549,103,1.003907
-180.526872,97,1.011689
-198.167948,71,1.0172
-422.518637,101,1.024742
-137.086442,62,1.029574
-66.819611,65,1.034924
-372.157969,99,1.042653
-228.911029,111,1.053002
-309.59539,70,1.058479
-264.762968,83,1.065264
7.529,98,1.072955
-108.194479,136,1.083259
-104.945374,77,1.089042
-193.588065,68,1.094668
-95.292167,67,1.099828
-94.104774,119,1.109217
-258.429296,101,1.116866
-243.935035,87,1.124212
-100.468901,83,1.131693
-384.034362,79,1.137986
-80.896682,85,1.144742
-184.487276,105,1.153167
-78.939715,94,1.160369
-114.430326,102,1.168151
-135.552611,96,1.175488
-147.332657,118,1.184858
-177.486262,63,1.189829
6.578789,91,1.196909
-94.881389,80,1.203061
-61.744017,133,1.215345
-197.030196,69,1.221074
-131.909648,111,1.229635
-123.307358,136,1.240017
-72.120501,116,1.249295
-103.965193,82,1.255635
-99.462012,70,1.261061
-75.136859,71,1.266628
-241.81443,102,1.275449
-238.525777,104,1.283546
-52.087714,64,1.290014
-128.545402,108,1.298701
-533.785778,132,1.309588
-132.120298,70,1.315289
-283.203353,108,1.323597
-96.738077,91,1.330539
-280.586536,127,1.34057
-48.099981,79,1.346718
-79.91845,69,1.352045
-72.977245,74,1.357782
-19.127377,116,1.368195
-386.242236,109,1.377331
-66.727082,96,1.384753
-385.82252,93,1.392037
-87.524064,58,1.397127
-371.044564,122,1.406693
-256.650798,72,1.412395
-144.684387,99,1.42001
-147.291163,83,1.427004
-114.880113,98,1.434754
-155.176907,69,1.440196
-117.349774,71,1.445699
-80.633511,65,1.490363
-114.088799,121,1.566207
-292.674669,78,1.614787
-281.677559,95,1.676909
-160.978084,113,1.747748
-175.841475,79,1.798235
-190.014138,133,1.882055
-99.752699,88,1.937316
-248.695005,141,2.029358
-141.304576,81,2.08168
-101.685582,72,2.127819
-335.46056,75,2.176512
-98.904327,114,2.250575
-86.45719,76,2.299455
-226.580539,82,2.352736
-85.970485,96,2.414535
-188.886044,122,2.491359
-97.916476,123,2.568911
-113.868045,100,2.631957
-41.464894,110,2.704742
-129.172042,104,2.776274
-332.945649,129,2.862483
-134.385706,133,2.946503
-287.009159,88,3.003127
-141.252169,87,3.060606
-94.83273,84,3.114791
-105.274375,111,3.184219
-259.442014,100,3.249451
-65.003746,76,3.299694
-173.6125,66,3.343798
-116.07623,102,3.409178
-71.444507,94,3.469732
-73.178385,82,3.523743
-88.211379,92,3.583226
-152.685182,106,3.652558
-154.836842,90,3.709197
-120.685776,86,3.767777
-74.818418,83,3.82175
-160.032762,67,3.863011
-28.271214,80,3.914306
-180.880441,122,3.993384
-46.069494,114,4.067031
-128.267726,84,4.120063
-6.151761,130,4.204469
-108.015286,75,4.25394
-346.940067,104,4.320757
-119.867037,118,4.396389
-72.261085,74,4.445588
-202.181333,88,4.503595
-100.231559,146,4.596988
-104.382125,104,4.664471
-122.48615,75,4.712972
25.566955,65,4.756249
-145.241624,140,4.846493
-75.020816,137,4.935216
-103.293649,84,4.99011
-73.699038,63,5.032466
-74.48776,134,5.120201
-79.158313,119,5.195513
-336.200796,136,5.283242
-169.420339,110,5.356702
-132.890475,130,5.440057
-163.949605,110,5.511727
-140.465505,136,5.600753
-49.793665,120,5.681481
-105.172521,65,5.723297
-117.27281,102,5.789729
-70.707089,122,5.866848
-73.553901,92,5.928804
-102.787678,124,6.009471
-99.259879,99,6.074262
-60.436533,99,6.139303
-102.967171,62,6.18066
-88.436702,61,6.21896
-53.379114,70,6.266159
-58.168035,148,6.362749
-71.56063,82,6.418132
-119.195736,116,6.494421
-71.612978,111,6.568124
-177.764537,105,6.637354
-174.394011,130,6.724574
-109.740156,120,6.80369
-45.535421,71,6.850226
-102.579614,122,6.928267
-128.670451,88,6.986812
-69.334795,87,7.043411
-45.928558,65,7.086179
-73.916702,80,7.139073
-110.870016,77,7.188373
-87.695153,72,7.235396
-113.752064,88,7.292964
-125.413837,85,7.351319
-72.588552,99,7.415535
-80.055607,103,7.482743
26.929702,135,7.572697
-110.831704,104,7.640371
-74.771994,119,7.720742
-191.078128,108,7.802167
-70.870196,151,7.899889
-85.36253,93,7.962651
-64.251605,95,8.025891
-126.583158,70,8.073097
-80.940281,108,8.144339
-142.927748,105,8.212623
-82.349175,129,8.298221
-25.127952,133,8.386117
-90.240473,127,8.467416
-129.345619,97,8.531667
-127.062786,120,8.610973
-132.886739,113,8.685653
-205.402156,240,8.843669
-142.253787,126,8.92982
-63.884749,119,9.011068
