#{"t_start": 1770588543.3147144, "env_id": "LunarLander-v3"}
r,l,t
-199.401556,68,0.703237
-366.323019,111,0.798995
-359.018085,155,0.929943
-88.735875,62,0.982263
-92.489115,111,1.075939
-135.194827,58,1.125214
-95.636279,64,1.17913
-181.495657,69,1.237279
-305.146538,105,1.325179
-39.574433,72,1.38734
-119.656755,111,1.482573
-61.276855,68,2.052641
-340.848573,96,2.133043
-191.02605,105,2.221879
-350.237223,98,2.304365
-110.715354,109,2.396226
-79.033779,88,2.470459
-81.815944,62,2.522952
-117.210227,70,2.582365
-90.614778,90,2.65892
-173.162533,78,2.734405
-352.216192,91,2.810611
-334.479804,105,2.900163
-463.371153,131,3.52358
-136.852474,92,3.601379
-190.90341,101,3.688241
-108.693908,74,3.750664
-146.693788,114,3.848579
-93.569164,70,3.908604
-160.161296,109,4.000742
-199.41927,111,4.093705
-108.904897,85,4.165668
-126.71426,70,4.225074
-90.27761,79,4.826282
-287.357253,112,5.338904
-297.538843,103,5.425962
-109.849537,101,5.511958
-94.838554,106,5.600449
-215.988105,114,5.69714
-41.112589,78,5.763107
-71.182185,60,5.814574
-111.949593,87,5.88854
-107.112998,66,5.944024
-108.312091,62,5.996251
-162.536311,97,6.078139
-275.716043,110,6.686077
-118.852414,194,6.847452
-261.880361,102,6.933834
-310.821817,104,7.020901
-347.437146,93,7.099623
-23.072687,145,7.222125
-324.834689,132,7.333376
-98.147954,75,7.397989
-79.652579,113,8.008946
-91.666112,64,8.065903
-126.450921,80,8.132518
-125.690644,109,8.22422
-204.922366,121,8.325997
-153.468354,114,8.422962
-175.131874,154,8.55186
-264.843823,129,8.660966
-111.296155,80,8.72676
-33.938032,87,8.800074
-101.994388,133,9.365683
-105.042337,90,9.988597
-31.09911,84,10.05142
-211.310768,119,10.139197
-84.75342,115,10.22597
-97.326015,71,10.278944
-105.290865,85,10.343778
-134.077683,107,10.422815
-150.231946,150,10.534897
-72.08296,109,10.616333
-143.554509,102,11.21424
-164.025348,120,11.315056
-263.012176,104,11.402134
-29.665891,96,11.483879
-276.51421,93,11.563472
-6.005967,95,11.643908
-73.137217,104,11.730762
-106.379652,122,11.834031
-26.106791,210,12.011761
-92.41868,213,12.644494
-40.305786,147,12.748411
-92.772702,163,12.863437
-83.044659,167,12.983875
-230.589422,116,13.084222
-237.823869,126,13.190188
-230.456601,259,13.950215
-82.45836,160,14.653792
-89.997428,138,14.771619
-71.588216,233,14.97154
-50.220568,156,15.104029
-53.42648,99,15.187753
-153.56453,152,15.83601
-10.288833,132,15.94722
-135.707869,105,16.034619
-182.334561,127,16.139706
82.702472,1000,17.525277
5.355662,161,17.661959
14.709191,166,17.803549
22.011793,162,17.940846
-44.418889,139,18.614329
66.173508,1000,20.017712
-266.717846,179,20.638825
-121.431193,160,20.755445
-109.673303,212,20.906479
-194.014939,215,21.061288
-69.490046,168,21.185891
-51.202644,218,21.896637
-160.464975,193,22.06483
-36.82457,237,22.269168
-204.432724,160,22.405901
15.513503,112,22.499536
-14.417871,169,22.639984
-14.279851,169,23.273595
-12.299718,215,23.922447
-54.016224,177,24.075406
13.751015,281,24.32104
-209.01132,266,25.103326
-210.750772,258,25.318616
-48.166485,195,25.488848
-1.937905,142,25.613112
-63.604376,268,25.846649
4.823994,252,26.58332
-196.010491,166,26.726845
56.577774,1000,28.022418
5.217136,224,28.805696
82.558124,1000,30.04156
-141.240437,484,30.409173
-147.495581,207,31.014266
-53.516916,251,31.194854
15.478533,1000,33.188136
-162.197703,465,33.590292
-162.195011,446,34.399347
44.397859,1000,35.626395
49.778855,1000,36.802291
-257.129691,853,39.345534
-74.284327,1000,40.513148
-91.565706,1000,41.205079
-62.810778,1000,43.794082
-83.485992,1000,45.133978
-50.833697,1000,46.46927
-74.569371,1000,49.017975
9.214924,1000,50.188537
-33.075052,1000,51.346736
-57.574697,1000,53.898616
-25.315113,1000,55.245041
-46.179739,1000,56.586266
-30.303679,1000,59.283246
-20.359111,1000,60.467524
-60.328786,1000,61.764308
-3.435255,1000,64.457824
23.686133,1000,65.798003
-85.139423,736,66.95472
47.772928,1000,68.266975
75.858271,1000,70.850797
134.412327,784,71.923939
51.889633,1000,73.16711
-58.16337,679,73.685945
167.411453,706,76.005426
146.95266,622,76.914779
146.112978,781,77.468652
16.845962,1000,78.664138
65.784753,1000,81.168989
127.195444,639,82.128051
46.357474,1000,83.360897
50.433666,1000,86.041127
76.594076,1000,87.337388
52.417607,1000,88.644882
-28.825515,527,89.096418
138.468964,691,91.545129
39.954741,1000,92.933396
90.012207,1000,94.329026
162.010565,704,96.803435
70.864275,1000,98.221366
-64.746446,557,98.693773
47.685691,1000,99.961225
35.765086,1000,102.365291
