#{"t_start": 1770588651.1528175, "env_id": "SectorCREnv-v0"}
r,l,t
-27.256754,111,1.182475
-15.123963,34,1.329157
-64.066016,200,2.16831
-57.778627,145,2.784819
-14.697085,74,3.111999
-4.964864,129,3.68189
-33.098304,161,4.375078
-5.771442,50,4.595839
-45.522081,86,4.9718
-107.452134,92,5.372166
-43.517706,57,5.63113
-34.497192,163,6.323203
-101.899693,88,6.723451
-24.377986,142,7.32523
-1.211381,26,7.456392
-40.852238,74,7.788759
-14.223132,69,8.093127
-11.890219,56,8.340877
-7.590625,38,8.520393
-35.541765,166,9.235096
-8.002129,24,9.349075
-50.246937,200,10.514713
-3.710185,75,10.847835
-28.996631,101,11.296474
-24.214209,78,11.637034
-51.804202,93,12.045864
-36.567843,200,12.883303
-88.454693,120,13.40964
-79.933167,78,13.758916
-6.063335,54,13.996909
-100.200842,200,14.873747
-36.803241,200,15.715424
-3.86962,50,15.938486
-0.231867,6,15.97543
-8.898969,63,16.246001
-2.668471,34,16.391526
-42.159468,70,16.699723
-12.144146,44,16.90378
-0.870344,17,16.989638
-0.309418,22,17.094224
-43.424058,200,17.991213
-85.297751,112,18.487527
-45.719146,200,19.647387
-23.475999,77,19.977785
-71.683488,199,20.809277
-10.750601,104,21.26776
-50.207758,90,21.663413
-4.087895,98,22.088943
-7.951126,104,22.536967
-2.079757,39,22.704995
-32.741673,114,23.205626
-39.976155,200,24.04424
-54.296078,146,24.670108
-67.028613,61,24.936728
-121.879177,200,25.773062
-2.703218,52,26.006145
-118.141829,200,26.848493
-30.741376,108,27.303968
-10.476525,44,27.502445
-57.683983,81,27.846731
-46.729254,200,29.022324
-0.799543,14,29.091887
-135.227239,169,29.837856
-37.448703,89,30.224244
-4.837612,33,30.364853
-25.504804,123,30.906051
-4.655816,41,31.093858
-22.131228,62,31.369735
-7.923738,54,31.605878
-42.131944,146,32.208856
-1.130204,42,32.401814
-24.231987,116,32.911918
-1.938563,30,33.051087
-13.169161,57,33.298515
-2.496307,61,33.553037
-42.0094,200,34.451912
-4.472089,36,34.607505
-24.77056,60,34.867192
-75.173412,200,35.667049
-3.660458,32,35.818392
-26.318559,71,36.116779
-21.727309,121,36.634447
-14.316253,23,36.739785
-15.676468,99,37.424727
-75.91681,200,38.255919
-131.902245,200,39.134292
-8.350389,107,39.601782
