#{"t_start": 1770588771.1077354, "env_id": "SectorCREnv-v0"}
r,l,t
-39.80472,195,1.495333
-14.132212,44,1.673469
-13.536812,89,2.036895
-43.076802,140,2.611537
-44.741679,117,3.096467
-44.525053,163,3.782783
-5.655821,53,4.01046
-46.168322,99,4.417808
-23.073952,63,4.68525
-86.371955,64,4.960874
-86.850487,200,5.805548
-44.489923,148,6.410627
-63.110461,140,7.011883
-53.606355,65,7.281788
-1.094072,32,7.433709
-29.607503,74,7.754781
-93.541054,106,8.192021
-56.78755,200,9.003615
-7.831672,34,9.15888
-54.145981,86,9.52158
-7.857032,23,9.626801
-64.333358,93,10.018532
-5.085495,64,10.289241
-11.411266,67,10.568463
-42.581915,76,10.892476
-25.674595,159,11.540074
-28.488605,43,11.728525
-44.381168,123,12.23299
-10.500548,45,12.418867
-22.424784,76,12.741904
-63.901105,130,13.271195
-15.328902,45,13.474308
-41.229898,159,14.114407
-49.307707,94,14.507105
-48.533364,123,14.992693
-4.790542,43,15.185186
-10.28406,55,15.416174
-7.057211,49,15.622496
-35.924005,92,16.011222
-85.327922,98,16.429401
-2.978577,32,16.5665
-46.654612,200,17.37077
-10.036158,39,17.566162
-3.174226,5,17.600483
-46.321411,129,18.128583
-16.39125,72,18.429679
-3.42486,73,18.747308
-11.381933,11,18.803518
-3.195357,52,19.025091
-46.579026,76,19.345458
-28.703707,200,20.138926
-0.264435,9,20.190777
-133.728277,94,20.576431
-6.805703,73,20.861906
-2.553573,27,20.989225
-19.503759,113,21.463855
-41.990587,167,22.176592
-72.978325,127,22.708339
-78.537052,148,23.32042
-1.556467,30,23.451758
-64.072545,123,23.97956
-17.78102,47,24.180174
-36.267092,64,24.444804
-47.842212,111,24.903352
-56.884069,189,25.683379
-65.692144,93,26.078094
-133.760142,200,26.957143
-15.114669,33,27.101931
-19.172829,30,27.231077
-62.993123,200,28.020901
-8.307275,83,28.364482
-22.374726,68,28.667496
-8.680826,53,28.880633
-34.063354,200,29.700998
-92.517655,200,30.568188
-18.302027,66,30.837576
-31.462703,52,31.057526
-15.790617,24,31.170227
-0.979965,19,31.261604
-51.934533,52,31.481936
-0.79531,29,31.608445
-44.831474,139,32.196029
-1.00555,16,32.276314
-98.359405,158,32.920106
-11.630796,50,33.130728
-66.790402,76,33.440681
-7.744604,75,33.769632
-38.997778,94,34.160376
-40.110171,42,34.341121
-3.748515,33,34.494497
-55.048032,125,35.045089
-9.036787,41,35.223188
-46.128836,57,35.474555
-99.914379,186,36.204165
-5.974928,29,36.335418
-8.901359,60,36.601812
-19.26445,80,36.934273
-34.748419,200,37.739466
-73.339998,104,38.162666
-31.991007,67,38.446869
-17.508255,49,38.663992
-61.377763,147,39.251791
-20.179643,62,39.527818
-35.355418,190,40.320301
-66.468983,200,41.146368
-81.549472,122,41.656152
-35.984788,112,42.14647
-153.169781,200,43.950738
-48.727625,150,45.792388
-7.791949,66,46.593446
-26.304298,144,48.409148
-2.068456,23,48.688945
-53.166036,74,49.584715
-11.409453,71,50.475355
-16.109539,147,52.248993
-12.391702,103,53.531134
-32.577168,68,54.377524
-21.027006,116,55.773204
-1.917836,27,56.179858
-15.166011,85,57.202543
-24.272123,137,58.899181
-0.396947,9,59.04425
-33.701335,80,60.066731
-5.589706,10,60.201705
-32.633695,110,61.597092
-3.206123,62,62.39375
-17.805355,118,63.86397
-31.965447,51,64.558293
-51.161099,114,66.012433
-103.669519,102,67.258096
-7.882129,72,68.220097
-41.142381,123,69.71472
-10.102152,79,70.687847
-81.100545,166,72.954857
-17.060416,37,73.409346
-15.648053,44,74.039536
-1.14867,12,74.199099
-30.975225,80,75.198032
-40.37542,125,76.725831
-0.742788,21,76.991962
-43.239569,109,78.42625
-3.334818,36,78.876907
-2.075788,29,79.265469
-53.042618,90,80.401399
-65.480274,93,81.54811
-46.739114,97,82.719274
-7.53809,81,83.689665
-1.918194,61,84.45455
-15.730856,69,85.293547
-6.050362,116,86.696583
-15.146752,65,87.541965
-66.044459,181,89.725884
-2.706569,28,90.067706
-21.738003,196,92.471224
-27.692096,91,93.601563
-34.85059,123,95.1089
-30.431615,142,96.799377
-0.97489,29,97.177931
-101.271801,164,99.249145
-55.180074,113,100.645698
-89.501283,200,103.387943
-150.284897,200,106.110202
-45.752356,130,107.729115
-41.29535,102,109.001352
-33.218518,36,109.480904
-3.102296,40,109.975478
-40.734851,105,111.280939
-29.754375,62,112.050467
-51.429351,104,113.324355
-8.369198,11,113.479345
-43.4191,122,115.021412
-74.03684,157,117.009742
-20.144837,84,118.166858
-58.356301,200,120.670958
-22.738343,84,121.719765
-0.309894,15,121.921437
-36.113854,120,123.384889
-47.856829,164,125.364211
-15.242279,51,126.006951
-64.879351,127,127.573233
-3.714029,66,128.385246
-1.990445,29,128.748188
-0.180916,3,128.802463
-7.491268,142,130.482939
-54.628897,194,132.934678
-41.753658,58,133.6912
-42.979139,178,135.8808
-0.691902,13,136.059075
-28.675911,163,138.089362
-17.407697,29,138.450874
-9.809334,90,139.697964
-30.445072,148,141.615235
-73.472649,200,144.536942
-17.210058,200,147.021763
-2.9107,83,148.067019
-3.133533,55,148.730814
-30.490717,76,149.641269
-14.750294,129,151.177889
-37.624155,77,152.224926
-30.356103,193,154.572994
-2.607403,44,155.136268
-5.981525,106,156.46799
-1.17154,46,157.04292
-42.803428,49,157.660708
-46.247459,88,158.719254
-7.119842,97,159.922256
-12.437063,58,160.650507
-18.350949,39,161.202152
-9.392818,14,161.389407
-13.416533,46,161.966432
-9.568859,8,162.077051
-68.956397,190,164.438573
-14.190489,52,165.070068
-16.511869,79,166.024959
-10.642935,61,166.829851
-0.535243,8,166.949414
-14.334528,27,167.321259
-31.40888,183,169.586214
-2.935637,41,170.100238
-17.305976,60,170.841294
-2.023007,66,171.73823
-3.353591,81,172.725598
-51.408889,200,175.220718
-20.200631,200,177.685786
-11.547775,140,179.411678
-1.455088,21,179.697875
-2.298287,35,180.14361
-38.407247,108,181.486699
-1.155976,19,181.738715
-18.59282,83,182.867981
-39.952544,181,185.317466
-7.046681,93,186.485258
-81.009202,125,188.1273
-0.156599,11,188.269734
-2.408816,33,188.676854
-26.441616,32,189.127506
-65.683852,188,191.400778
-45.759506,137,193.090175
-38.010834,98,194.416078
-21.396432,158,196.380174
-19.090024,40,196.87591
-2.858008,52,197.517119
-5.335727,130,199.049373
-12.421472,85,200.067319
-6.762656,56,200.757065
-6.628592,132,202.422961
-94.983396,200,204.874994
-23.275143,107,206.242165
-36.850335,155,208.156186
-42.68106,87,209.199446
-33.470125,80,210.218934
-4.027236,17,210.465167
-14.813799,20,210.761632
-3.607975,60,211.525045
-62.651722,200,214.078587
-90.614701,200,216.866579
-67.126639,200,219.491489
-7.661264,15,219.730919
-9.024689,11,219.89604
-48.387587,140,221.805624
-1.591809,34,222.286905
-12.553446,91,223.43418
-29.855165,200,225.904153
-18.457165,97,227.146184
-25.901476,50,227.759927
-21.173892,148,229.567775
-54.710707,71,230.446827
-57.181138,56,231.304607
-15.874688,47,231.897966
